age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
45-54,Computing/IT/Tech,Business Analyst,88000.0,USD,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Assistant to Property Managers,31500.0,USD,USA,South Carolina,Columbia,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Medical/Health Care,IT Training Specialist,76000.0,USD,USA,Massachusetts,Woburn,5 - 7 years,2 - 4 years,Master's degree,Woman,White
35-44,Medical/Health Care,Principal Statistical Programmer,165000.0,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree,Non-binary,White
25-34,Accounting/Banking/Finance,Reporting Analyst ,45760.0,USD,USA,California,Anaheim,11 - 20 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting/Administrative Work,Communications Manager,86000.0,USD,USA,Florida,Orlando,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Education,Admissions Advisor,56000.0,USD,USA,Wisconsin,Appleton,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Education,Business Development Specialist,67000.0,USD,USA,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Law,Associate,125000.0,USD,USA,Tennessee,Chattanooga,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Assistant Project Manager,55000.0,USD,USA,Florida,Jacksonville,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Computing/IT/Tech,Supply chain manager,125000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Medical/Health Care,RN,60000.0,USD,USA,Tennessee,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Law,Associate,190000.0,USD,USA,Massachusetts,Boston,1 year or less,1 year or less,Master's degree,Woman,White
45-54,Utilities/Telecommunications,Land Analyst,60320.0,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,Regulatory affairs manager ,125000.0,USD,USA,North Carolina,Durham,5 - 7 years,2 - 4 years,PhD,Woman,White
45-54,Education,teacher,94000.0,USD,USA,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
35-44,Government/Public Administration,Administrative Assistant,49000.0,USD,USA,Oregon,Newport,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Director of Development,120000.0,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Teaching Assistant,28000.0,USD,USA,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
55-64,Business/Consulting/Administrative Work,Consultant,135000.0,USD,USA,Illinois,Chicago,31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Education,Advancement Accounting Assistant,40575.0,USD,USA,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500.0,USD,USA,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Copy supervisor,115000.0,USD,USA,Pennsylvania,Philadelphia,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Government/Public Administration,Policy analyst ,70000.0,USD,USA,Massachusetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Visual Designer,110000.0,USD,USA,Illinois,Chicago,5 - 7 years,5 - 7 years,College degree,Woman,White
18-24,Agriculture/Forestry,Engineering Student Trainee,29000.0,USD,USA,South Dakota,Rapid City,1 year or less,1 year or less,College degree,Woman,White
55-64,Business/Consulting/Administrative Work,Graphic Designer,61000.0,USD,USA,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White
55-64,Nonprofits,Information Technology Specialist,47250.0,USD,USA,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5 - 7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Sr. Piping Designer,96000.0,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Nonprofits,Digital Marketing Specialist,45000.0,USD,USA,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Senior Program Support Associate,72000.0,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Government/Public Administration,Editor,78167.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Senior Operations Manager,132500.0,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Computing/IT/Tech,"IT Manager, Financial Systems",124000.0,USD,USA,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Business/Consulting/Administrative Work,Sr Analytic Consultant,108000.0,USD,USA,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Accounting/Banking/Finance,Principal Consultant ,110000.0,USD,USA,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,"Assistant director, communications",83000.0,USD,USA,Arizona,Flagstaff,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Geostructural Design Engineer,110000.0,USD,USA,,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Student Success Center Coordinator,45000.0,USD,USA,Illinois,Carlinville,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Government/Public Administration,Editor,91000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,5 - 7 years,PhD,Woman,White
35-44,Engineering/Manufacturing/Construction,QC Chemistry Manager,117000.0,USD,USA,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Insurance,Supervisor ,59000.0,USD,USA,,"Omaha, NE",21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Education,Research administrator ,71697.0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,5 - 7 years,Master's degree,Woman,White
45-54,Others/Not Correctly Specified,Senior Property Manager,90000.0,USD,USA,California,Sacramento,31 - 40 years,21 - 30 years,College degree,Woman,White
35-44,Education,Director of Alumni Communications,120000.0,USD,USA,Massachusetts,Western Mass,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Admin Assistant,52000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
35-44,Transport/Logistics,Executive Administrator ,80000.0,USD,USA,New York,New York City,21 - 30 years,21 - 30 years,High School,Woman,White
25-34,Transport/Logistics,HR Business Partner,56000.0,USD,USA,Illinois,Joliet,8 - 10 years,5 - 7 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Product Support Representative,47840.0,USD,USA,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,Asian or Asian American
45-54,Others/Not Correctly Specified,Senior Hazard Mitigation Manager,150000.0,USD,USA,Florida,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman,White
45-54,Computing/IT/Tech,Senior Manager of Customer Enablement,150000.0,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Others/Not Correctly Specified,Senior Consultant,105000.0,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Accounting/Banking/Finance,Equity Analyst,100000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Engineering/Manufacturing/Construction,Project Manager-Tech Lead,97500.0,USD,USA,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,Accounting/Banking/Finance,Operations,100000.0,USD,USA,Texas,Dallas,5 - 7 years,5 - 7 years,College degree,Man,White
45-54,Medical/Health Care,Senior Project Specialist,125000.0,USD,USA,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Government/Public Administration,Public Library Director,63000.0,USD,USA,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Others/Not Correctly Specified,Principal Investigator,79000.0,USD,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Others/Not Correctly Specified,Museum Technician,52000.0,USD,USA,Maryland,Suitland,5 - 7 years,2 - 4 years,Master's degree,Man,White
45-54,Art/Design/Media,editor,120000.0,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
35-44,Business/Consulting/Administrative Work,Managing Librarian,70000.0,USD,USA,New York,New York City,11 - 20 years,5 - 7 years,Master's degree,Woman,White
35-44,Biotechnology/Pharma/Biology,"Manager of cGMP Manufacturing, QA, and QC",110000.0,USD,USA,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Accounting/Banking/Finance,Accountant ,45000.0,USD,USA,Indiana,Indianapolis ,1 year or less,1 year or less,College degree,Woman,White
35-44,Government/Public Administration,Senior Director of Public Policy,70000.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Talent Management Manager,115000.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,College degree,Man,White
35-44,Agriculture/Forestry,Research assistant,17000.0,USD,USA,Pennsylvania,North East,11 - 20 years,5 - 7 years,Master's degree,Non-binary,White
25-34,Government/Public Administration,Analyst ,64000.0,USD,USA,Maryland,Baltimore ,5 - 7 years,1 year or less,College degree,Woman,Black or African American
55-64,Engineering/Manufacturing/Construction,Accounting Manager,66000.0,USD,USA,Texas,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Quality Manager ,80000.0,USD,USA,Pennsylvania,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Government/Public Administration,Policy Analyst,78000.0,USD,USA,New York,New York City,5 - 7 years,2 - 4 years,Master's degree,Woman,White
18-24,Law,Attorney,65000.0,USD,USA,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,White
65 or over,Medical/Health Care,RN,110000.0,USD,USA,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Bookkeeper self-employed,114400.0,USD,USA,Virginia,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Senior Recruiter,111500.0,USD,USA,Idaho,Idaho Falls,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Assistant Director of Undergraduate Admissions,58300.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Director of strategic initiatives ,700000.0,USD,USA,New York,ROCHESTER ,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Software Engineer,156000.0,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
45-54,Computing/IT/Tech,Agile Coach,130000.0,USD,USA,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Children's Librarian,75000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,principle product marketing manager,126000.0,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Sr. Environmental Manager,125000.0,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Education,Executive Office & Admin Specialist,38480.0,USD,USA,Minnesota,Duluth,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Nonprofits,Early Intervention developmental specialist,36000.0,USD,USA,Massachusetts,South Hadley,11 - 20 years,2 - 4 years,Master's degree,Man,White
25-34,Nonprofits,Grants coordinator,55000.0,USD,USA,New York,New York City,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Account Executive,53500.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Government/Public Administration,Youth Services Librarian,49600.0,USD,USA,Texas,DFW area,8 - 10 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
25-34,Nonprofits,Associate Director of Annual Giving,50000.0,USD,USA,Georgia,Atlanta,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Cash Logistics Manager,57750.0,USD,USA,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Social Work,Social Worker / Child Development Specialist,62000.0,USD,USA,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,Legislative Analyst,65000.0,USD,USA,California,Sacramento,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Medical/Health Care,Medical Receptionist,43680.0,USD,USA,Massachusetts,North Andover,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Transport/Logistics,Technology Senior Business Analyst,103000.0,USD,USA,Texas,Dallas,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Nonprofits,Senior Marketing Specialist,65000.0,USD,USA,Washington,Bellevue,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Education,High School counselor ,75000.0,USD,USA,Georgia,Suwanee ,21 - 30 years,11 - 20 years,Master's degree,Woman,White
18-24,Business/Consulting/Administrative Work,Developer,72500.0,USD,USA,Illinois,Chicago,5 - 7 years,1 year or less,College degree,Woman,White
35-44,Agriculture/Forestry,"Group Leader, Crop Protection Environmental and Human Safety",86000.0,USD,USA,North Carolina,Raleigh,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Energy Specialist,75000.0,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Art/Design/Media,Editor (Books),38000.0,USD,USA,Massachusetts,Salem,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Social Work,Medical Social Worker,63000.0,USD,USA,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,Children's Librarian,39000.0,USD,USA,Ohio,Dayton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Payroll Manager,105000.0,USD,USA,Connecticut,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Shop Coordinator,53000.0,USD,USA,,Orlando,21 - 30 years,8 - 10 years,High School,Woman,White
35-44,Computing/IT/Tech,Senior user experience researcher,179000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,PhD,Woman,White
35-44,Business/Consulting/Administrative Work,Freelance content writer/copy editor,77000.0,USD,USA,Connecticut,Manchester,21 - 30 years,5 - 7 years,College degree,Woman,White
35-44,Art/Design/Media,Production Editor ,55000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing/IT/Tech,Salesforce Administrator ,64200.0,USD,USA,Wisconsin,Madison,5 - 7 years,2 - 4 years,Master's degree,Other or prefer not to answer,White
55-64,Medical/Health Care,Account Manager,43500.0,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Engineer,92000.0,USD,USA,Texas,DFW,5 - 7 years,5 - 7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
55-64,Government/Public Administration,Assistant General Counsel,170000.0,USD,USA,District of Columbia,DC,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,,Proposal Manager,87938.0,USD,USA,North Carolina,Wilmington,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Medical/Health Care,Pharmacist,125000.0,USD,USA,Pennsylvania,Pittsburgh,5 - 7 years,5 - 7 years,PhD,Woman,White
55-64,Accounting/Banking/Finance,"IT Director, Project Management ",186000.0,USD,USA,New Jersey,Cherry Hill,31 - 40 years,31 - 40 years,College degree,Man,White
25-34,Art/Design/Media,Production Editor,51000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Staff Accountant,61800.0,USD,USA,Ohio,Cleveland,8 - 10 years,5 - 7 years,College degree,Man,White
25-34,Accounting/Banking/Finance,"SVP, risk management",155000.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
35-44,Art/Design/Media,Product Coordinator,40000.0,USD,USA,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Statistical Analyst,71750.0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Sales Account Manager,70000.0,USD,USA,Wisconsin,Milwaukee,8 - 10 years,2 - 4 years,Master's degree,Man,Asian or Asian American
